ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
2,0.1uF,"C1,C2,C7,C9,C13",0603 CAPACITOR,5,,,,
3,2.2uF,"C3,C10",0603 CAPACITOR,2,,,,
4,10uF,"C5,C6",CAPC3216X180N,2,,,,
5,15pF,"C11,C12",0603 CAPACITOR,2,,,,
6,10uF,"C19,C20,C21",0603 CAPACITOR,3,,,,
7,MBR0540T1G,D2,SOD-123_L2.8-W1.8-LS3.7-RD,1,MBR0540T1G,ON,LCSC,C21353
9,0541044031 V2,J1,541044031,1,,,,
10,22uH,L1,IND-SMD_L5.0-W5.0_VLCF5020,1,VLCF5020T-220MR75-1,TDK,LCSC,C87576
11,TJ-S1608SW6TGLC6B-A5,LED_BLUE1,LED0603-R-RD_BLUE,1,TJ-S1608SW6TGLC6B-A5,TOGIALED,LCSC,C192317
12,TJ-S1608SW6TGLC2R-A5,LED_RED1,LED0603-R-RD_RED,1,TJ-S1608SW6TGLC2R-A5,TOGIALED,LCSC,C192315
19,10K,"R1,R2,R8,R17",RESISTOR_R0603,4,,,,
20,10R,R3,RESISTOR_R0603,1,,,,
21,470,R10,RESISTOR_R0603,1,,,,
22,1K,"R11,R20,R21",RESISTOR_R0603,3,,,,
23,4.7K,"R12,R13",RESISTOR_R0603,2,,,,
24,27R,"R18,R19",RESISTOR_R0603,2,,,,
37,Boot,SW1,PUSHBUTTON SMD 3X4X2.5,1,,,,
38,Reset,SW2,PUSHBUTTON SMD 3X4X2.5,1,,,,
39,W25Q128JVSIQ,U1,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQ,WINBOND(??),LCSC,C113767
40,FA-238V 12.0000MA-C5,U2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,FA-238V 12.0000MA-C5,EPSON,LCSC,C1985398
41,SN74LVC245APWR,U3,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,SN74LVC245APWR,TI(Texas Instruments),LCSC,C7848
42,TPS61160DRVR,U4,WSON-6_L2.0-W2.0-P0.65-TL-EP,1,TPS61160DRVR,TI(Texas Instruments),LCSC,C165143
43,DMG SCREEN CONNECTOR - NO HOLES,U6,DMG SCREEN CONNECTOR - NO HOLES,1,,,Ali-Express,
44,RP2040,U7,RP2040-QFN56,1,RP2040,Raspberry Pi,,C2961140
45,AP2112K-3.3TRG1,U11,SOT-25-5_L3.0-W1.8-P0.95-LS3.0-BR,1,AP2112K-3.3TRG1,DIODES,LCSC,C51118
46,U-F-M5DD-W-2,USB,MICRO-USB-SMD_MICRO-USB-A17,1,U-F-M5DD-W-2,HRO,LCSC,C145793
