ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
2,0.1uF,C4,0603 CAPACITOR,1,,,,
3,10uF,"C8,C14,C18,C21",0603 CAPACITOR,4,,,,
4,22uF,"C15,C16,C17",CAPACITOR_SMD0805,3,,,,
5,10uF,"C22,C23",CAPACITOR_SMD0805,2,,,,
6,S2B-PH-SM4-TB(LF)(SN),CN1,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,1,S2B-PH-SM4-TB(LF)(SN),JST,LCSC,C295747
7,BAT20JFILM,D3,SOD-323_L1.8-W1.3-LS2.5-RD,1,BAT20JFILM,ST(STMicroelectronics),LCSC,C155590
10,1.5uH,L2,IND-SMD_L4.0-W4.0,1,XEL4030-152MEC,Coilcraft,Mouser,994-XEL4030-152MEC
11,SI2305B-TP,Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,SI2305B-TP,MCC(Micro Commercial Components),LCSC,C668997
12,2K,R4,RESISTOR_R0603,1,,,,
13,10K,"R5,R6,R9",RESISTOR_R0603,3,,,,
14,100K,R7,RESISTOR_R0603,1,,,,
15,TPS630701RNMR,U5,TPS630701RNMR,1,TPS630701RNMR,Texas Instruments,Digi-Key,296-47298
16,MCP73831T-2ACI/OT,U8,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MCP73831T-2ACI/OT,MICROCHIP,LCSC,C424093
17,Led 0603,U9,LED 0603,1,,,,
