ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,0.47uF,"C1,C2",0603 CAPACITOR,2,CAPCERAMIC0.22UF16V20%X5R0201,null,,
2,0.1uF,C3,0603 CAPACITOR,1,CAPCERAMIC0.22UF16V20%X5R0201,null,,
3,10uF,C4,0603 CAPACITOR,1,CAPCERAMIC0.22UF16V20%X5R0201,null,,
4,100uF 10V,C5,CAP-SMD_L3.5-W2.8-R-RD,1,T491M107K006AT,KEMET,Digi-Key,399-11391
5,LED_BLUE,LED_BLUE,LED_5MM,1,,,,
6,20K,"R1,R2",RESISTOR_R0603,2,,,,
7,10R,R3,RESISTOR_R0603,1,,,,
8,1K,R4,RESISTOR_R0603,1,,,,
9,Button-6x6x9-Right-Angle,SW1,SW-TH_BBJ,1,TL1105RF160Q94VO,E-Switch,Digi-Key,TL1105RF160Q94VO-ND
10,EG1206A,SW2,SW-TH_EG1206A,1,EG1206A,E-Switch,LCSC,C273392
11,PAM8403DR_C348830,U2,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,PAM8403DR-H,,Digi-Key,PAM8403DR
12,KCX_BT_EMITTER,U3,KCX_BT_EMITTER,1,,,Ali-Express,
13,DMG Volume potentiometer,VR1,DMG-POT,1,,,Ali-Express,
